
7.60661 0.897819 6822.53
7.5998 0.927396 7064.9
7.74423 0.912288 7080.27
7.71672 0.912189 7032.07
7.78235 0.917287 7153.92
7.75576 0.917472 7108.57
7.80341 0.921171 7203.56
7.501 0.921277 6915.1
7.63764 0.916319 6991.52
7.65465 0.898035 6867.27
7.60661 0.897819 6822.53
7.5998 0.927396 7064.9
7.74423 0.912288 7080.27
7.71672 0.912189 7032.07
7.78235 0.917287 7153.92
7.75576 0.917472 7108.57
7.80341 0.921171 7203.56
7.501 0.921277 6915.1
7.63764 0.916319 6991.52
7.65465 0.898035 6867.27
7.60661 0.897819 6822.53
7.5998 0.927396 7064.9
7.74423 0.912288 7080.27
7.71672 0.912189 7032.07
7.78235 0.917287 7153.92
7.75576 0.917472 7108.57
7.80341 0.921171 7203.56
7.501 0.921277 6915.1
7.63764 0.916319 6991.52
7.65465 0.898035 6867.27
